datetime,season,hour,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
2023-01-01 00:00:00,3,0,0,2,0.0,10.88542043062968,80.81287438321272,19.279049719064467,59,185,244
2023-01-01 01:00:00,4,1,0,1,40.0,24.46504778432005,32.311992375501895,4.155220895290387,50,214,264
2023-01-01 02:00:00,1,2,0,1,6.10427533236404,26.98221748496785,31.939957579317912,20.37529720593822,53,199,252
2023-01-01 03:00:00,3,3,0,2,3.5460125304310814,33.40149038521267,41.453949419593066,0.9226270215932828,49,215,264
2023-01-01 04:00:00,3,4,0,2,30.225704320096405,37.805406865683736,48.88597810728298,14.996800467460467,41,217,258
2023-01-01 05:00:00,4,5,0,1,40.0,11.849058081721314,52.67644651267861,18.809030796253467,51,186,237
2023-01-01 06:00:00,1,6,0,3,33.84272818510518,13.891424887896617,74.37577734666762,2.0067004893021863,48,191,239
2023-01-01 07:00:00,1,7,0,2,25.639091200523595,9.424221410853837,24.534434573266832,5.627270545611838,59,169,228
2023-01-01 08:00:00,3,8,0,3,25.94754341665286,19.659801408930186,22.77381633808531,1.809222658547063,39,214,253
2023-01-01 09:00:00,2,9,0,2,28.534155587803077,26.663583744463345,51.35284503551272,12.262324862905412,59,188,247
2023-01-01 10:00:00,3,10,0,2,27.58928589786765,31.873345165891017,75.77309537103844,7.664660415073957,55,201,256
2023-01-01 11:00:00,3,11,0,1,22.811914239693756,21.24048976357477,35.47482743651861,10.087441994171233,53,198,251
2023-01-01 12:00:00,3,12,0,3,21.042011039518762,18.80152476745156,71.32035850050013,2.187618735953728,56,205,261
2023-01-01 13:00:00,3,13,0,2,19.374068721004775,23.517579922487403,40.786251035223955,2.379347310336946,53,184,237
2023-01-01 14:00:00,4,14,0,1,12.460354111333238,13.64857098369977,90.8868887050813,0.423829262133264,41,196,237
2023-01-01 15:00:00,1,15,0,1,17.19324923133226,42.89538721694773,91.65519554132932,3.8870760543632024,52,203,255
2023-01-01 16:00:00,4,16,0,1,3.0704318580461454,5.923389728819412,43.78297634250612,8.204004052368134,48,185,233
2023-01-01 17:00:00,4,17,0,2,19.016603732052502,23.847405788957246,38.39950031705924,19.514699742606403,54,203,257
2023-01-01 18:00:00,4,18,0,4,10.114088928490826,42.236062192296394,52.9043177652985,10.993949372336555,39,201,240
2023-01-01 19:00:00,3,19,0,1,8.96410682784229,22.06799844559998,39.242526814411896,5.716312513167016,50,207,257
2023-01-01 20:00:00,2,20,0,1,21.798941511534785,20.099609649985055,73.79070746333629,30.601665738643476,51,189,240
2023-01-01 21:00:00,1,21,0,1,33.92002286344599,18.425545771895727,86.08517476386284,12.702735904993084,58,204,262
2023-01-01 22:00:00,2,22,0,3,29.18316606002313,20.196083182375922,73.84737047289735,26.616228671122755,49,204,253
2023-01-01 23:00:00,4,23,0,2,4.2949939637682295,35.728484746765304,85.94803577994796,7.499037362026554,58,213,271
2023-01-02 00:00:00,4,0,1,2,10.103718634296625,0.0,51.75937297659793,2.996254782146343,48,204,252
2023-01-02 01:00:00,2,1,1,1,29.407711879882157,37.33433701296325,32.50535765670887,0.5427318919853095,50,200,250
2023-01-02 02:00:00,2,2,1,1,10.175126064616904,7.76042847549855,79.03607579180738,12.949368975022342,44,203,247
